Title Code,Title Description,Standard Hours,Assignment Level,Union Code,Union Description,Bargaining Unit Short Name,Bargaining Unit Description,Minimum Salary Rate,Maximum Salary Rate
00031,HCPPA,37,0,23,PRINCIPAL ADMINISTRATIVE ASSOC,CWA,Communication Wrkrs of America,"42,451.00","79,294.00"
00136,BEAUTICIAN,37.5,0,124,"L420,L2507,L3627 DC37 HOSPITAL",DC37,District Council 37,"39,298.00","46,084.00"
03647,SPECIAL ASSISTANT TO THE BOROU,35,0,775,MGRL TEMP - PROP NC,N/U,Non-Union,"63,301.00","252,165.00"
03927,ASSISTANT SYSTEMS ANALYST (HHC,35,0,129,ACCOUNTING AND EDP TITLES DC37,DC37,District Council 37,"21,771.00","40,314.00"
05026,DIRECTOR OF INTERGOVERNMENTAL,35,0,775,MGRL TEMP - PROP NC,N/U,Non-Union,"63,301.00","252,165.00"
05058,FOOD SERVICE MANAGER,35,0,121,L237 INSTITUTIONAL TITLES,IBT,Intl Brotherhood of Teamsters,"62,784.00","67,759.00"
05072,STUDENT LEGAL SPECIALIST,35,0,19,ATTORNEYSCSBA 237 IBT,IBT,Intl Brotherhood of Teamsters,"44,915.00","44,915.00"
05085,EXECUTIVE DIRECTOR OF ADMINIST,35,0,775,MGRL TEMP - PROP NC,N/U,Non-Union,"63,301.00","252,165.00"
05103,DIRECTOR (PLANT OPERATIONS SER,35,0,772,NON COMPETITIVE MANAGER,N/U,Non-Union,"33,000.00","113,500.00"
05106,ASSISTANT TO THE PRESIDENT (BR,35,0,665,TEMPORARY OJ,N/U,Non-Union,"45,000.00","55,000.00"
05107,SECRETARY TO ASSISTANT TO PRES,35,0,665,TEMPORARY OJ,N/U,Non-Union,"63,859.00","63,859.00"
05108,SECRETARY TO THE EXCUTIVE ASSI,35,0,665,TEMPORARY OJ,N/U,Non-Union,"63,859.00","63,859.00"
05144,RESEARCH AND LIAISON COORDINAT,35,0,775,MGRL TEMP - PROP NC,N/U,Non-Union,"63,301.00","252,165.00"
05145,RESEARCH LIAISON ADN GOVERNMEN,35,0,775,MGRL TEMP - PROP NC,N/U,Non-Union,"63,301.00","252,165.00"
05149,DIRECTOR BOROUGH PRESIDENT'S O,35,0,775,MGRL TEMP - PROP NC,N/U,Non-Union,"63,301.00","252,165.00"
05162,FISCAL AND POLICY ANALYST (BP,35,0,665,TEMPORARY OJ,N/U,Non-Union,"52,507.00","68,842.00"
05162,FISCAL AND POLICY ANALYST (BP,35,0,665,TEMPORARY OJ,N/U,Non-Union,"54,082.00","70,907.00"
05168,CHAUFFEUR-ATTENDANT (BKLYN BOR,40,0,993,OJ & NON-MGRL TEMP - PROP EX,N/U,Non-Union,"68,396.00","75,967.00"
05224,DEPUTY OPERATION SUPPORT MANAG,35,0,775,MGRL TEMP - PROP NC,N/U,Non-Union,"63,301.00","252,165.00"
05230,RESEARCH AND LIAISON SPECIALIS,35,0,665,TEMPORARY OJ,N/U,Non-Union,"53,620.00","73,377.00"
05230,RESEARCH AND LIAISON SPECIALIS,35,0,665,TEMPORARY OJ,N/U,Non-Union,"55,229.00","75,578.00"
05234,CHAUFFEUR-ATTENDANT (BORO PRES,35,0,665,TEMPORARY OJ,N/U,Non-Union,"17,069.00","25,000.00"
05234,CHAUFFEUR-ATTENDANT (BORO PRES,40,0,665,TEMPORARY OJ,N/U,Non-Union,"17,069.00","25,000.00"
05277,RESEARCH PROJECTS COORDINATOR,35,0,993,OJ & NON-MGRL TEMP - PROP EX,N/U,Non-Union,"33,000.00","113,500.00"
05278,ASSISTANT TO THE DEPUTY MAYOR,35,0,775,MGRL TEMP - PROP NC,N/U,Non-Union,"63,301.00","252,165.00"
0527A,RESEARCH PROJECTS COOR(MA)-MGR,35,0,883,MGRL TEMP - PROP EX,N/U,Non-Union,"63,301.00","252,165.00"
05322,SENIOR RACKETS INVESTIGATOR (B,40,0,81,DETECTIVE INVESTIGATORS PBA DA,PBDA,Patrolmen's Bnvlnt Assoc of DA,"65,815.00","87,787.00"
05323,SUPERVISING RACKETS INVESTIGAT,40,0,81,DETECTIVE INVESTIGATORS PBA DA,PBDA,Patrolmen's Bnvlnt Assoc of DA,"69,278.00","90,541.00"
05329,SPECIAL ASSISTANT TO DA (QUEEN,35,0,681,DA-NON-MAYOR SALARY/TEMPORARY,N/U,Non-Union,"53,373.00","212,614.00"
05338,PRINCIPAL ACCOUNTANT INVESTIGA,35,0,679,DA-NON-MAYOR SALARY/NON-COMPET,N/U,Non-Union,"61,457.00","244,820.00"
05346,EMPLOYEE HEALTH BENEFITS PROGR,35,0,775,MGRL TEMP - PROP NC,N/U,Non-Union,"63,301.00","252,165.00"
05357,DIRECTOR OF BUILDING MANAGEMEN,35,0,775,MGRL TEMP - PROP NC,N/U,Non-Union,"63,301.00","252,165.00"
05363,STATISTICAL SECRETARY (OMB),35,1,128,CLERICAL TITLES DC37,DC37,District Council 37,"35,112.00","63,647.00"
05363,STATISTICAL SECRETARY (OMB),35,2,128,CLERICAL TITLES DC37,DC37,District Council 37,"47,693.00","89,074.00"
05384,SECRETARY (OFFICE OF THE MAYOR,35,0,993,OJ & NON-MGRL TEMP - PROP EX,N/U,Non-Union,"35,000.00","71,397.00"
05395,EXECUTIVE ADMINISTRATOR OF GRA,35,0,775,MGRL TEMP - PROP NC,N/U,Non-Union,"63,301.00","252,165.00"
05418,EXECUTIVE ASSISTANT TO THE CIT,35,0,991,EXEMPT NON MANAGERIAL,N/U,Non-Union,"50,508.00","58,163.00"
05423,"DIRECTOR, OFFICE OF OPERATIONS",35,0,775,MGRL TEMP - PROP NC,N/U,Non-Union,"63,301.00","252,165.00"
05454,ASST DIR OF INTERGVNMENTAL REL,35,0,775,MGRL TEMP - PROP NC,N/U,Non-Union,"63,301.00","252,165.00"
05481,PROJECT PLANNER (MA),35,0,993,OJ & NON-MGRL TEMP - PROP EX,N/U,Non-Union,"60,998.00","76,857.00"
05482,SR PROJECT PLANNER (MA),35,0,993,OJ & NON-MGRL TEMP - PROP EX,N/U,Non-Union,"54,876.00","97,918.00"
05487,ASSISTANT COMMISSIONER(ADMINIS,35,0,775,MGRL TEMP - PROP NC,N/U,Non-Union,"63,301.00","252,165.00"
05492,"DIR OF ADMINISTRATION, WORKER'",35,0,775,MGRL TEMP - PROP NC,N/U,Non-Union,"63,301.00","252,165.00"
06004,EXECUTIVE ASSISTANT-MIDTOWN EN,35,0,993,OJ & NON-MGRL TEMP - PROP EX,N/U,Non-Union,0.00,0.00
06006,SPECIAL ADVISOR TO CITY CLERK,35,0,665,TEMPORARY OJ,N/U,Non-Union,"40,203.00","59,698.00"
06021,SECRETARY (OFFICE OF BORO PRES,35,0,993,OJ & NON-MGRL TEMP - PROP EX,N/U,Non-Union,"15,000.00","18,000.00"
06022,ASST PROJECT PLANNER (OFFICE O,35,0,993,OJ & NON-MGRL TEMP - PROP EX,N/U,Non-Union,"43,000.00","67,000.00"
06023,PROJECT PLANNER (OFFICE OF BOR,35,0,993,OJ & NON-MGRL TEMP - PROP EX,N/U,Non-Union,"21,000.00","31,000.00"
06024,CONFIDENTIAL ASSISTANT TO BORO,35,0,775,MGRL TEMP - PROP NC,N/U,Non-Union,"63,301.00","252,165.00"
06070,RECREATION SPECIALIST (DEPT OF,35,0,130,HEALTH SERVICE TITLES DC37,DC37,District Council 37,24.90,24.90
06088,BUDGET ANALYST (OMB),35,1,665,TEMPORARY OJ,N/U,Non-Union,"39,698.00","84,395.00"
06088,BUDGET ANALYST (OMB),35,2,665,TEMPORARY OJ,N/U,Non-Union,"58,873.00","108,156.00"
0608A,BUDGET ANALYST (OMB)-MANAGERIA,35,0,775,MGRL TEMP - PROP NC,N/U,Non-Union,"63,301.00","252,165.00"
06142,DIRECTOR OF CRISIS ASSISTANCE,35,0,775,MGRL TEMP - PROP NC,N/U,Non-Union,"63,301.00","252,165.00"
06144,ASSISTANT LEGISLATIVE REPRESEN,35,0,775,MGRL TEMP - PROP NC,N/U,Non-Union,"63,301.00","252,165.00"
06145,CHAUFFEUR-ATTENDANT (BORO PRES,35,0,993,OJ & NON-MGRL TEMP - PROP EX,N/U,Non-Union,"49,492.00","89,999.00"
06147,PUBLIC RELATIONS OFFICER (BORO,35,0,775,MGRL TEMP - PROP NC,N/U,Non-Union,"63,301.00","252,165.00"
06165,SUPERVISOR OF NURSES (BOARD OF,35,0,76,STAFF NURSES - UFT,UFT,United Federation of Teachers,"44,766.00","49,017.00"
06165,SUPERVISOR OF NURSES (BOARD OF,37.5,0,76,STAFF NURSES - UFT,UFT,United Federation of Teachers,"67,485.00","73,802.00"
06179,DIRECTOR OF NEIGHBORHOOD PARK,35,0,775,MGRL TEMP - PROP NC,N/U,Non-Union,"63,301.00","252,165.00"
